Sequence,survey.status,dev.status,ecosystem,upgr.backport,Count: 31
593,finished,developer,Ruby/Rubygems,Somewhat agree,
594,abandoned,developer,Haskell (Stack/Stackage),Somewhat disagree,
595,abandoned,developer,Perl/CPAN,NA,
596,finished,developer,other,Neither agree nor disagree,
597,abandoned,user,Haskell (Cabal/Hackage),NA,
598,finished,developer,Haskell (Stack/Stackage),Strongly disagree,
599,finished,developer,R/CRAN,Strongly disagree,
600,finished,user,Node.js/NPM,NA,
601,abandoned,developer,Haskell (Cabal/Hackage),NA,
602,abandoned,developer,Python/PyPi,NA,
603,abandoned,developer,Rust/Cargo,NA,
604,abandoned,developer,Maven,NA,
605,abandoned,developer,Ruby/Rubygems,NA,
606,abandoned,developer,other,NA,
607,abandoned,developer,other,NA,
608,abandoned,developer,Haskell (Cabal/Hackage),NA,
609,abandoned,developer,R/CRAN,NA,
610,abandoned,developer,R/CRAN,NA,
611,abandoned,developer,other,NA,
612,abandoned,user,R/CRAN,NA,
613,abandoned,user,R/CRAN,NA,
614,abandoned,user,Lua/Luarocks,NA,
615,abandoned,developer,Python/PyPi,NA,
616,abandoned,user,R/CRAN,NA,
617,abandoned,developer,other,NA,
618,abandoned,developer,R/CRAN,NA,
619,abandoned,developer,Python/PyPi,NA,
620,abandoned,user,R/CRAN,NA,
621,abandoned,developer,other,NA,
622,abandoned,user,R/CRAN,NA,
623,abandoned,developer,R/CRAN,NA,
624,abandoned,developer,R/CRAN,NA,
625,abandoned,developer,Python/PyPi,NA,
626,finished,developer,other,Somewhat agree,
627,abandoned,developer,other,NA,
628,abandoned,developer,R/CRAN,NA,
629,abandoned,user,Python/PyPi,NA,
630,abandoned,developer,R/Bioconductor,NA,
631,abandoned,developer,other,NA,
632,abandoned,developer,Haskell (Cabal/Hackage),NA,
633,abandoned,user,Ruby/Rubygems,NA,
634,abandoned,developer,Ruby/Rubygems,NA,
635,abandoned,user,R/CRAN,NA,
636,abandoned,user,R/CRAN,NA,
637,abandoned,user,Lua/Luarocks,NA,
638,abandoned,user,R/CRAN,NA,
639,abandoned,developer,other,NA,
640,abandoned,developer,other,NA,
641,abandoned,user,R/CRAN,NA,
642,abandoned,developer,Lua/Luarocks,Neither agree nor disagree,
643,abandoned,user,"Erlang,Elixir/Hex",NA,
644,abandoned,developer,Lua/Luarocks,NA,
645,abandoned,developer,R/CRAN,NA,
646,abandoned,developer,PHP/Packagist,NA,
647,abandoned,developer,other,NA,
648,abandoned,user,R/CRAN,NA,
649,abandoned,user,Haskell (Stack/Stackage),NA,
650,abandoned,user,Haskell (Stack/Stackage),NA,
651,abandoned,developer,Python/PyPi,NA,
652,abandoned,user,other,NA,
653,abandoned,developer,other,NA,
654,abandoned,developer,other,NA,
655,abandoned,user,"Erlang,Elixir/Hex",NA,
656,abandoned,user,R/CRAN,NA,
657,abandoned,developer,Perl/CPAN,NA,
658,abandoned,user,Eclipse (plugins),NA,
659,abandoned,developer,other,NA,
660,abandoned,developer,Maven,NA,
661,abandoned,developer,Lua/Luarocks,NA,
662,abandoned,user,Go,NA,
663,finished,user,CocoaPods,NA,
664,finished,developer,other,Strongly disagree,
665,abandoned,developer,other,NA,
666,finished,developer,CocoaPods,Strongly disagree,
667,abandoned,developer,other,NA,
668,finished,developer,other,Strongly disagree,
669,abandoned,developer,"Erlang,Elixir/Hex",NA,
670,finished,user,CocoaPods,NA,
671,abandoned,developer,other,NA,
672,abandoned,user,Ruby/Rubygems,NA,
673,abandoned,developer,other,NA,
674,abandoned,developer,Lua/Luarocks,NA,
675,abandoned,developer,other,NA,
676,finished,developer,Perl/CPAN,Somewhat disagree,
677,abandoned,developer,other,NA,
678,finished,developer,CocoaPods,Somewhat agree,
679,finished,developer,PHP/Packagist,Somewhat agree,
680,finished,user,PHP/Packagist,NA,
681,finished,developer,other,Somewhat agree,
682,finished,developer,PHP/Packagist,Somewhat agree,
683,finished,user,PHP/Packagist,NA,
684,finished,developer,PHP/Packagist,Neither agree nor disagree,
685,finished,user,PHP/Packagist,NA,
686,finished,developer,PHP/Packagist,Somewhat disagree,
687,finished,developer,PHP/Packagist,Strongly disagree,
688,finished,developer,PHP/Packagist,Somewhat disagree,
689,finished,user,PHP/Packagist,NA,
690,abandoned,developer,other,NA,
691,finished,developer,PHP/Packagist,Somewhat disagree,
692,finished,developer,PHP/Packagist,Somewhat disagree,
693,abandoned,user,R/CRAN,NA,
694,finished,developer,PHP/Packagist,Strongly disagree,
695,finished,developer,other,Somewhat agree,
696,finished,developer,PHP/Packagist,Strongly disagree,
697,finished,user,PHP/Packagist,NA,
698,finished,developer,PHP/Packagist,Somewhat disagree,
699,finished,user,PHP/Packagist,NA,
700,finished,developer,PHP/Packagist,Somewhat agree,
701,finished,user,PHP/Packagist,NA,
702,finished,developer,PHP/Packagist,Neither agree nor disagree,
703,abandoned,developer,Haskell (Stack/Stackage),NA,
704,finished,developer,PHP/Packagist,Neither agree nor disagree,
705,finished,developer,PHP/Packagist,Neither agree nor disagree,
706,finished,developer,other,Somewhat agree,
707,finished,developer,PHP/Packagist,Somewhat agree,
708,finished,user,PHP/Packagist,NA,
709,finished,developer,PHP/Packagist,Somewhat disagree,
710,finished,developer,PHP/Packagist,Strongly disagree,
711,finished,developer,PHP/Packagist,Strongly disagree,
712,finished,user,PHP/Packagist,NA,
713,finished,developer,PHP/Packagist,Somewhat agree,
714,finished,developer,PHP/Packagist,Strongly agree,
715,finished,developer,PHP/Packagist,Somewhat disagree,
716,finished,developer,PHP/Packagist,Neither agree nor disagree,
717,finished,developer,PHP/Packagist,Somewhat agree,
718,finished,user,Python/PyPi,NA,
719,finished,developer,PHP/Packagist,Neither agree nor disagree,
720,finished,developer,PHP/Packagist,Somewhat agree,
721,finished,user,Haskell (Stack/Stackage),NA,
722,abandoned,developer,Haskell (Stack/Stackage),NA,
723,abandoned,developer,other,NA,
724,abandoned,developer,"Erlang,Elixir/Hex",Strongly disagree,
725,finished,developer,other,Strongly disagree,
726,finished,developer,other,Strongly disagree,
727,finished,developer,Haskell (Cabal/Hackage),Somewhat disagree,
728,finished,developer,PHP/Packagist,Strongly disagree,
729,abandoned,developer,other,NA,
730,finished,user,PHP/Packagist,NA,
731,finished,developer,PHP/Packagist,Strongly disagree,
732,abandoned,developer,Rust/Cargo,NA,
733,abandoned,developer,Haskell (Cabal/Hackage),NA,
734,finished,developer,other,Somewhat agree,
735,abandoned,developer,other,Neither agree nor disagree,
736,abandoned,developer,Maven,NA,
737,finished,developer,other,Somewhat disagree,
738,abandoned,user,Haskell (Cabal/Hackage),NA,
739,finished,developer,other,Somewhat disagree,
740,abandoned,developer,Haskell (Stack/Stackage),Somewhat agree,
741,abandoned,developer,Python/PyPi,NA,
742,abandoned,developer,Ruby/Rubygems,NA,
743,abandoned,developer,R/CRAN,NA,
744,abandoned,user,Ruby/Rubygems,NA,
745,abandoned,developer,Lua/Luarocks,NA,
746,abandoned,developer,R/CRAN,NA,
747,abandoned,developer,Ruby/Rubygems,NA,
748,abandoned,developer,R/CRAN,NA,
749,abandoned,developer,Eclipse (plugins),NA,
750,abandoned,developer,"Erlang,Elixir/Hex",NA,
751,abandoned,user,Python/PyPi,NA,
752,abandoned,user,NuGet,NA,
753,abandoned,developer,other,NA,
754,abandoned,user,Lua/Luarocks,NA,
755,abandoned,developer,Go,NA,
756,finished,developer,other,Strongly disagree,
757,abandoned,developer,other,NA,
758,abandoned,developer,"Erlang,Elixir/Hex",NA,
759,finished,user,Python/PyPi,NA,
760,abandoned,developer,other,Skipped,
761,finished,developer,other,Somewhat disagree,
762,abandoned,developer,other,NA,
763,finished,user,other,NA,
764,finished,developer,CocoaPods,Strongly agree,
765,finished,user,other,NA,
766,finished,developer,other,Strongly disagree,
767,finished,developer,other,Somewhat agree,
768,finished,user,CocoaPods,NA,
769,finished,developer,CocoaPods,Strongly disagree,
770,abandoned,user,other,NA,
771,abandoned,developer,Haskell (Cabal/Hackage),Strongly disagree,
772,abandoned,developer,other,NA,
773,finished,developer,other,Strongly disagree,
774,finished,developer,Python/PyPi,Somewhat agree,
775,finished,developer,Python/PyPi,Neither agree nor disagree,
776,finished,user,Haskell (Stack/Stackage),NA,
777,finished,developer,other,Strongly disagree,
778,finished,user,other,NA,
779,abandoned,developer,Maven,NA,
780,finished,developer,other,Strongly disagree,
781,finished,user,Python/PyPi,NA,
782,abandoned,user,Lua/Luarocks,NA,
783,abandoned,developer,other,NA,
784,abandoned,developer,other,NA,
785,abandoned,developer,other,NA,
786,abandoned,developer,Rust/Cargo,NA,
787,abandoned,developer,CocoaPods,NA,
788,abandoned,developer,CocoaPods,NA,
789,abandoned,developer,other,NA,
790,finished,developer,Python/PyPi,Strongly disagree,
791,finished,developer,Python/PyPi,Somewhat disagree,
792,finished,developer,Python/PyPi,Strongly disagree,
793,finished,developer,Python/PyPi,Strongly disagree,
794,finished,user,Python/PyPi,NA,
795,finished,user,Python/PyPi,NA,
796,finished,developer,Python/PyPi,Strongly disagree,
797,abandoned,developer,other,NA,
798,finished,user,Python/PyPi,NA,
799,finished,developer,Python/PyPi,Somewhat agree,
800,finished,developer,other,Somewhat disagree,
801,finished,user,Python/PyPi,NA,
802,finished,developer,Python/PyPi,Somewhat agree,
803,finished,developer,Python/PyPi,Strongly disagree,
804,finished,developer,Python/PyPi,Strongly disagree,
805,finished,developer,Python/PyPi,Somewhat disagree,
806,abandoned,developer,Perl/CPAN,NA,
807,finished,user,Haskell (Cabal/Hackage),NA,
808,abandoned,developer,other,NA,
809,abandoned,developer,CocoaPods,NA,
810,abandoned,developer,other,NA,
811,abandoned,developer,other,NA,
812,abandoned,user,other,NA,
813,abandoned,developer,other,NA,
814,abandoned,user,other,NA,
815,finished,developer,Python/PyPi,Neither agree nor disagree,
816,finished,user,Python/PyPi,NA,
817,finished,developer,Python/PyPi,Strongly disagree,
818,abandoned,developer,PHP/Packagist,NA,
819,abandoned,developer,PHP/Packagist,NA,
820,abandoned,developer,PHP/Packagist,NA,
821,abandoned,user,Python/PyPi,NA,
822,abandoned,developer,PHP/Packagist,NA,
823,abandoned,developer,Atom (plugins),NA,
824,abandoned,developer,PHP/Packagist,NA,
825,abandoned,developer,other,NA,
826,abandoned,developer,other,NA,
827,abandoned,developer,other,NA,
828,abandoned,developer,other,NA,
829,abandoned,developer,PHP/Packagist,NA,
830,abandoned,user,Python/PyPi,NA,
831,abandoned,user,Node.js/NPM,NA,
832,abandoned,user,PHP/Packagist,NA,
833,abandoned,developer,PHP/Packagist,NA,
834,abandoned,developer,other,NA,
835,abandoned,developer,PHP/Packagist,NA,
836,abandoned,developer,other,NA,
837,abandoned,developer,Python/PyPi,NA,
838,abandoned,developer,other,NA,
839,abandoned,developer,other,NA,
840,abandoned,developer,PHP/Packagist,NA,
841,abandoned,developer,other,NA,
842,abandoned,developer,Python/PyPi,NA,
843,abandoned,developer,Python/PyPi,NA,
844,abandoned,developer,PHP/Packagist,NA,
845,abandoned,developer,PHP/Packagist,NA,
846,abandoned,developer,Node.js/NPM,NA,
847,abandoned,developer,other,NA,
848,abandoned,user,PHP/Packagist,NA,
849,abandoned,user,PHP/Packagist,NA,
850,abandoned,developer,other,NA,
851,abandoned,user,PHP/Packagist,NA,
852,abandoned,developer,other,NA,
853,abandoned,user,PHP/Packagist,NA,
854,abandoned,developer,PHP/Packagist,NA,
855,abandoned,developer,PHP/Packagist,NA,
856,abandoned,developer,PHP/Packagist,NA,
857,abandoned,developer,PHP/Packagist,NA,
858,abandoned,user,PHP/Packagist,NA,
859,abandoned,developer,PHP/Packagist,NA,
860,abandoned,user,PHP/Packagist,NA,
861,abandoned,developer,PHP/Packagist,NA,
862,abandoned,developer,PHP/Packagist,NA,
863,abandoned,developer,other,NA,
864,abandoned,developer,other,NA,
865,abandoned,developer,other,NA,
866,abandoned,user,PHP/Packagist,NA,
867,abandoned,developer,PHP/Packagist,NA,
868,abandoned,developer,PHP/Packagist,NA,
869,abandoned,user,PHP/Packagist,NA,
870,abandoned,developer,other,NA,
871,abandoned,developer,other,NA,
872,abandoned,user,PHP/Packagist,NA,
873,abandoned,developer,other,NA,
874,abandoned,developer,Node.js/NPM,NA,
875,abandoned,developer,PHP/Packagist,NA,
876,abandoned,developer,other,NA,
877,abandoned,developer,PHP/Packagist,NA,
878,finished,developer,Python/PyPi,Strongly disagree,
879,abandoned,developer,Python/PyPi,NA,
880,abandoned,developer,Haskell (Cabal/Hackage),NA,
881,abandoned,user,PHP/Packagist,NA,
882,abandoned,developer,PHP/Packagist,NA,
883,abandoned,developer,other,NA,
884,abandoned,developer,Python/PyPi,NA,
885,abandoned,user,other,NA,
886,abandoned,developer,PHP/Packagist,NA,
887,abandoned,developer,PHP/Packagist,NA,
888,abandoned,developer,Ruby/Rubygems,NA,
889,abandoned,developer,other,NA,
890,abandoned,user,PHP/Packagist,NA,
891,finished,developer,other,Somewhat agree,
892,abandoned,developer,Ruby/Rubygems,NA,
893,abandoned,user,PHP/Packagist,NA,
894,abandoned,developer,other,NA,
895,abandoned,developer,PHP/Packagist,NA,
896,abandoned,developer,other,NA,
897,abandoned,user,PHP/Packagist,NA,
898,abandoned,developer,Python/PyPi,NA,
899,abandoned,user,PHP/Packagist,NA,
900,abandoned,user,PHP/Packagist,NA,
901,abandoned,developer,PHP/Packagist,NA,
902,abandoned,developer,Python/PyPi,NA,
903,abandoned,developer,Python/PyPi,NA,
904,abandoned,developer,other,NA,
905,abandoned,developer,PHP/Packagist,NA,
906,abandoned,developer,PHP/Packagist,NA,
907,abandoned,developer,PHP/Packagist,NA,
908,abandoned,developer,PHP/Packagist,NA,
909,abandoned,developer,other,NA,
910,abandoned,user,PHP/Packagist,NA,
911,abandoned,developer,other,NA,
912,abandoned,user,PHP/Packagist,NA,
913,abandoned,user,Python/PyPi,NA,
914,abandoned,developer,PHP/Packagist,NA,
915,abandoned,user,PHP/Packagist,NA,
916,abandoned,developer,PHP/Packagist,NA,
917,abandoned,developer,other,NA,
918,abandoned,developer,PHP/Packagist,NA,
919,finished,user,PHP/Packagist,NA,
920,finished,developer,Python/PyPi,Neither agree nor disagree,
921,abandoned,user,PHP/Packagist,NA,
922,abandoned,user,other,NA,
923,abandoned,developer,PHP/Packagist,NA,
924,abandoned,developer,PHP/Packagist,NA,
925,abandoned,developer,PHP/Packagist,NA,
926,abandoned,user,PHP/Packagist,NA,
927,abandoned,user,PHP/Packagist,NA,
928,abandoned,user,PHP/Packagist,NA,
929,abandoned,developer,PHP/Packagist,NA,
930,abandoned,user,Python/PyPi,NA,
931,abandoned,developer,PHP/Packagist,NA,
932,abandoned,developer,PHP/Packagist,NA,
933,abandoned,developer,other,NA,
934,abandoned,user,Python/PyPi,NA,
935,abandoned,developer,Python/PyPi,NA,
936,abandoned,user,PHP/Packagist,NA,
937,finished,developer,Perl/CPAN,Neither agree nor disagree,
938,abandoned,developer,other,NA,
939,abandoned,developer,PHP/Packagist,NA,
940,abandoned,user,PHP/Packagist,NA,
941,abandoned,developer,PHP/Packagist,NA,
942,abandoned,developer,PHP/Packagist,NA,
943,abandoned,developer,other,NA,
944,abandoned,developer,PHP/Packagist,NA,
945,abandoned,developer,other,NA,
946,abandoned,user,PHP/Packagist,NA,
947,abandoned,developer,other,NA,
948,abandoned,user,PHP/Packagist,NA,
949,abandoned,developer,Python/PyPi,NA,
950,abandoned,developer,other,NA,
951,abandoned,developer,Python/PyPi,NA,
952,abandoned,developer,PHP/Packagist,NA,
953,abandoned,user,Python/PyPi,NA,
954,abandoned,developer,other,Somewhat agree,
955,abandoned,developer,other,NA,
956,abandoned,developer,other,NA,
957,abandoned,developer,other,NA,
958,finished,developer,Python/PyPi,Strongly disagree,
959,abandoned,user,PHP/Packagist,NA,
960,abandoned,developer,other,NA,
961,abandoned,developer,Python/PyPi,Skipped,
962,abandoned,developer,PHP/Packagist,NA,
963,abandoned,developer,PHP/Packagist,NA,
964,abandoned,developer,other,NA,
965,abandoned,developer,R/CRAN,Somewhat disagree,
966,abandoned,developer,Python/PyPi,NA,
967,finished,user,Python/PyPi,NA,
968,abandoned,developer,other,NA,
969,finished,developer,Python/PyPi,Strongly disagree,
970,abandoned,developer,other,NA,
971,abandoned,user,PHP/Packagist,NA,
972,abandoned,developer,PHP/Packagist,NA,
973,abandoned,developer,Python/PyPi,NA,
974,abandoned,user,Python/PyPi,NA,
975,abandoned,developer,PHP/Packagist,NA,
976,abandoned,developer,Python/PyPi,NA,
977,abandoned,developer,other,NA,
978,abandoned,developer,PHP/Packagist,NA,
979,abandoned,developer,PHP/Packagist,NA,
980,abandoned,developer,Python/PyPi,NA,
981,abandoned,developer,other,NA,
982,abandoned,developer,PHP/Packagist,NA,
983,abandoned,developer,PHP/Packagist,NA,
984,abandoned,developer,other,NA,
985,abandoned,developer,Python/PyPi,NA,
986,abandoned,developer,other,NA,
987,abandoned,developer,other,NA,
988,abandoned,developer,other,NA,
989,abandoned,developer,Haskell (Stack/Stackage),NA,
990,abandoned,developer,other,NA,
991,abandoned,developer,other,NA,
992,abandoned,developer,other,NA,
993,abandoned,user,other,NA,
994,abandoned,user,Python/PyPi,NA,
995,abandoned,developer,Python/PyPi,Somewhat disagree,
996,abandoned,developer,PHP/Packagist,NA,
997,abandoned,developer,Python/PyPi,NA,
998,abandoned,developer,PHP/Packagist,NA,
999,abandoned,developer,other,NA,
1000,abandoned,developer,other,NA,
1001,abandoned,developer,other,NA,
1002,abandoned,user,PHP/Packagist,NA,
1003,abandoned,developer,other,NA,
1004,abandoned,developer,other,NA,
1005,abandoned,developer,other,NA,
1006,abandoned,developer,Python/PyPi,NA,
1007,abandoned,developer,other,NA,
1008,finished,developer,other,Strongly disagree,
1009,finished,developer,Python/PyPi,Somewhat disagree,
1010,finished,developer,Python/PyPi,Strongly disagree,
1011,finished,developer,Python/PyPi,Strongly disagree,
1012,finished,developer,Python/PyPi,Strongly disagree,
1013,finished,user,Python/PyPi,NA,
1014,abandoned,developer,other,NA,
1015,abandoned,user,other,NA,
1016,finished,developer,Python/PyPi,Somewhat agree,
1017,finished,developer,Python/PyPi,Strongly disagree,
1018,finished,user,Perl/CPAN,NA,
1019,abandoned,user,Haskell (Stack/Stackage),NA,
1020,abandoned,developer,other,NA,
1021,finished,user,Python/PyPi,NA,
1022,finished,user,Python/PyPi,NA,
1023,finished,user,Python/PyPi,NA,
1024,abandoned,developer,CocoaPods,NA,
1025,abandoned,user,other,NA,
1026,abandoned,user,PHP/Packagist,NA,
1027,finished,developer,Python/PyPi,Somewhat disagree,
1028,abandoned,developer,Go,NA,
1029,abandoned,developer,Haskell (Stack/Stackage),NA,
1030,abandoned,user,other,NA,
1031,finished,user,Python/PyPi,NA,
1032,finished,developer,Python/PyPi,Somewhat disagree,
1033,abandoned,developer,other,NA,
1034,abandoned,user,other,NA,
1035,abandoned,user,PHP/Packagist,NA,
1036,finished,developer,Python/PyPi,Strongly disagree,
1037,abandoned,user,other,NA,
1038,abandoned,developer,Python/PyPi,NA,
1039,abandoned,developer,Haskell (Cabal/Hackage),NA,
1040,finished,user,Python/PyPi,NA,
1041,abandoned,user,PHP/Packagist,NA,
1042,abandoned,developer,Python/PyPi,NA,
1043,finished,user,Haskell (Stack/Stackage),NA,
1044,finished,developer,Haskell (Cabal/Hackage),Neither agree nor disagree,
1045,finished,user,Haskell (Cabal/Hackage),NA,
1046,finished,developer,Haskell (Stack/Stackage),Somewhat agree,
1047,finished,developer,other,Strongly disagree,
1048,finished,developer,Python/PyPi,Somewhat agree,
1049,finished,developer,other,Strongly disagree,
1050,finished,user,Haskell (Cabal/Hackage),NA,
1051,finished,user,Haskell (Cabal/Hackage),NA,
1052,finished,user,Haskell (Cabal/Hackage),NA,
1053,finished,developer,other,Strongly disagree,
1054,finished,developer,Python/PyPi,Strongly disagree,
1055,finished,user,Haskell (Stack/Stackage),NA,
1056,finished,user,Haskell (Cabal/Hackage),NA,
1057,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
1058,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
1059,finished,user,Haskell (Cabal/Hackage),NA,
1060,finished,user,Haskell (Cabal/Hackage),NA,
1061,finished,user,Haskell (Stack/Stackage),NA,
1062,finished,developer,Python/PyPi,Strongly disagree,
1063,abandoned,user,Python/PyPi,NA,
1064,abandoned,developer,other,NA,
1065,abandoned,developer,other,NA,
1066,finished,user,Haskell (Stack/Stackage),NA,
1067,abandoned,user,Haskell (Stack/Stackage),NA,
1068,abandoned,developer,other,NA,
1069,finished,developer,Python/PyPi,Strongly agree,
1070,finished,developer,Python/PyPi,Somewhat agree,
1071,abandoned,developer,CocoaPods,NA,
1072,finished,user,Python/PyPi,NA,
1073,finished,user,Python/PyPi,NA,
1074,finished,developer,Python/PyPi,Strongly disagree,
1075,abandoned,developer,PHP/Packagist,NA,
1076,abandoned,developer,other,NA,
1077,abandoned,developer,other,NA,
1078,abandoned,developer,PHP/Packagist,NA,
1079,abandoned,user,PHP/Packagist,NA,
1080,finished,developer,Python/PyPi,Strongly disagree,
1081,finished,user,Python/PyPi,NA,
1082,finished,user,Haskell (Cabal/Hackage),NA,
1083,finished,developer,Haskell (Cabal/Hackage),Neither agree nor disagree,
1084,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
1085,abandoned,developer,PHP/Packagist,NA,
1086,abandoned,user,Python/PyPi,NA,
1087,abandoned,developer,other,NA,
1088,abandoned,developer,Python/PyPi,NA,
1089,finished,user,Python/PyPi,NA,
1090,abandoned,developer,other,NA,
1091,finished,developer,Node.js/NPM,Strongly disagree,
1092,abandoned,developer,Perl/CPAN,NA,
1093,abandoned,developer,PHP/Packagist,NA,
1094,abandoned,developer,Ruby/Rubygems,NA,
1095,abandoned,user,Python/PyPi,NA,
1096,finished,user,Haskell (Stack/Stackage),NA,
1097,finished,user,Haskell (Cabal/Hackage),NA,
1098,abandoned,developer,Python/PyPi,NA,
1099,finished,developer,Python/PyPi,Strongly disagree,
1100,abandoned,developer,Python/PyPi,NA,
1101,abandoned,user,Python/PyPi,NA,
1102,finished,developer,Python/PyPi,Strongly disagree,
1103,abandoned,developer,Python/PyPi,NA,
1104,finished,developer,R/Bioconductor,Neither agree nor disagree,
1105,finished,developer,R/Bioconductor,Somewhat agree,
1106,finished,user,Python/PyPi,NA,
1107,finished,user,Python/PyPi,NA,
1108,abandoned,developer,other,NA,
1109,abandoned,developer,Python/PyPi,NA,
1110,finished,user,Haskell (Stack/Stackage),NA,
1111,finished,developer,R/Bioconductor,Strongly agree,
1112,finished,user,R/Bioconductor,NA,
1113,finished,user,R/Bioconductor,NA,
1114,abandoned,user,Python/PyPi,NA,
1115,abandoned,user,Haskell (Stack/Stackage),NA,
1116,abandoned,developer,Python/PyPi,NA,
1117,abandoned,developer,other,NA,
1118,abandoned,developer,Python/PyPi,NA,
1119,abandoned,user,Python/PyPi,NA,
1120,finished,user,Python/PyPi,NA,
1121,abandoned,developer,Python/PyPi,NA,
1122,abandoned,developer,Python/PyPi,NA,
1123,finished,user,Python/PyPi,NA,
1124,abandoned,user,Python/PyPi,NA,
1125,abandoned,developer,PHP/Packagist,NA,
1126,abandoned,developer,Python/PyPi,NA,
1127,abandoned,developer,Python/PyPi,NA,
1128,finished,user,Haskell (Cabal/Hackage),NA,
1129,abandoned,developer,Python/PyPi,NA,
1130,abandoned,developer,other,NA,
1131,finished,developer,Python/PyPi,Somewhat agree,
1132,abandoned,user,Python/PyPi,NA,
1133,finished,user,R/Bioconductor,NA,
1134,abandoned,user,other,NA,
1135,abandoned,developer,Python/PyPi,NA,
1136,abandoned,developer,Python/PyPi,NA,
1137,abandoned,developer,other,NA,
1138,abandoned,developer,other,NA,
1139,abandoned,developer,other,NA,
1140,abandoned,developer,other,NA,
1141,finished,developer,Go,Strongly disagree,
1142,abandoned,developer,other,NA,
1143,abandoned,user,other,NA,
1144,abandoned,developer,other,NA,
1145,abandoned,developer,PHP/Packagist,NA,
1146,abandoned,developer,Python/PyPi,NA,
1147,abandoned,developer,other,NA,
1148,finished,developer,Python/PyPi,Somewhat agree,
1149,finished,developer,R/Bioconductor,Strongly disagree,
1150,abandoned,developer,Python/PyPi,NA,
1151,finished,user,Python/PyPi,NA,
1152,finished,user,Python/PyPi,NA,
1153,finished,user,R/Bioconductor,NA,
1154,abandoned,user,Go,NA,
1155,finished,user,Python/PyPi,NA,
1156,finished,user,Python/PyPi,NA,
1157,abandoned,developer,Python/PyPi,NA,
1158,finished,user,R/Bioconductor,NA,
1159,abandoned,developer,Python/PyPi,NA,
1160,abandoned,developer,other,NA,
1161,abandoned,user,Maven,NA,
1162,abandoned,developer,Python/PyPi,NA,
1163,abandoned,developer,Python/PyPi,NA,
1164,abandoned,user,Python/PyPi,NA,
1165,finished,developer,Python/PyPi,Somewhat agree,
1166,abandoned,developer,Python/PyPi,NA,
1167,abandoned,developer,Python/PyPi,NA,
1168,abandoned,developer,Python/PyPi,NA,
1169,abandoned,user,Python/PyPi,NA,
1170,finished,developer,Python/PyPi,Somewhat disagree,
1171,abandoned,user,Python/PyPi,NA,
1172,abandoned,developer,other,NA,
1173,finished,developer,R/Bioconductor,Strongly agree,
1174,abandoned,developer,Python/PyPi,NA,
1175,abandoned,developer,Python/PyPi,NA,
1176,abandoned,developer,Python/PyPi,NA,
1177,abandoned,developer,Python/PyPi,NA,
1178,abandoned,developer,Python/PyPi,NA,
1179,abandoned,developer,Go,NA,
1180,abandoned,developer,Python/PyPi,NA,
1181,abandoned,developer,Go,Neither agree nor disagree,
1182,abandoned,developer,other,NA,
1183,abandoned,developer,Python/PyPi,NA,
1184,abandoned,developer,other,NA,
