Sequence,survey.status,dev.status,ecosystem,upgr.backport,Count: 31
1185,finished,developer,Python/PyPi,Somewhat disagree,
1186,abandoned,user,Python/PyPi,NA,
1187,abandoned,developer,Python/PyPi,NA,
1188,abandoned,developer,Python/PyPi,NA,
1189,abandoned,developer,Python/PyPi,NA,
1190,abandoned,developer,Python/PyPi,Strongly disagree,
1191,abandoned,user,Python/PyPi,NA,
1192,abandoned,user,Python/PyPi,NA,
1193,abandoned,developer,other,NA,
1194,abandoned,developer,other,NA,
1195,abandoned,developer,Haskell (Stack/Stackage),NA,
1196,abandoned,user,Haskell (Cabal/Hackage),NA,
1197,abandoned,developer,Haskell (Stack/Stackage),Somewhat agree,
1198,abandoned,developer,Haskell (Cabal/Hackage),NA,
1199,finished,user,Python/PyPi,NA,
1200,abandoned,developer,other,NA,
1201,abandoned,developer,Python/PyPi,NA,
1202,abandoned,developer,other,NA,
1203,abandoned,developer,Haskell (Stack/Stackage),NA,
1204,abandoned,developer,Python/PyPi,Neither agree nor disagree,
1205,abandoned,developer,Haskell (Cabal/Hackage),NA,
1206,abandoned,developer,other,NA,
1207,abandoned,developer,Haskell (Cabal/Hackage),NA,
1208,abandoned,developer,Haskell (Cabal/Hackage),NA,
1209,abandoned,developer,Haskell (Cabal/Hackage),NA,
1210,abandoned,developer,Haskell (Cabal/Hackage),NA,
1211,abandoned,developer,Python/PyPi,NA,
1212,abandoned,developer,Python/PyPi,NA,
1213,finished,user,Go,NA,
1214,abandoned,developer,other,NA,
1215,abandoned,user,Python/PyPi,NA,
1216,abandoned,developer,Python/PyPi,NA,
1217,abandoned,developer,Haskell (Cabal/Hackage),NA,
1218,abandoned,user,Haskell (Stack/Stackage),NA,
1219,abandoned,developer,Python/PyPi,NA,
1220,finished,developer,Node.js/NPM,Strongly disagree,
1221,finished,user,Node.js/NPM,NA,
1222,abandoned,developer,Python/PyPi,NA,
1223,finished,developer,NuGet,Neither agree nor disagree,
1224,abandoned,developer,Python/PyPi,NA,
1225,abandoned,developer,Python/PyPi,Strongly agree,
1226,finished,user,other,NA,
1227,finished,developer,NuGet,Somewhat disagree,
1228,finished,user,Python/PyPi,NA,
1229,finished,developer,NuGet,Strongly disagree,
1230,finished,developer,Haskell (Cabal/Hackage),Somewhat agree,
1231,finished,developer,Go,Somewhat disagree,
1232,abandoned,developer,CocoaPods,NA,
1233,finished,developer,Node.js/NPM,Strongly disagree,
1234,abandoned,developer,other,NA,
1235,finished,developer,R/Bioconductor,Somewhat agree,
1236,abandoned,developer,Python/PyPi,NA,
1237,abandoned,developer,other,NA,
1238,abandoned,developer,Python/PyPi,NA,
1239,abandoned,developer,Python/PyPi,NA,
1240,finished,developer,Node.js/NPM,Strongly disagree,
1241,finished,developer,NuGet,Neither agree nor disagree,
1242,finished,user,Node.js/NPM,NA,
1243,finished,developer,NuGet,Strongly disagree,
1244,abandoned,developer,other,NA,
1245,finished,user,R/Bioconductor,NA,
1246,finished,user,Node.js/NPM,NA,
1247,abandoned,developer,Python/PyPi,NA,
1248,finished,developer,Node.js/NPM,Strongly disagree,
1249,finished,user,R/CRAN,NA,
1250,finished,developer,R/Bioconductor,Neither agree nor disagree,
1251,finished,developer,NuGet,Somewhat disagree,
1252,finished,developer,NuGet,Strongly disagree,
1253,finished,user,Node.js/NPM,NA,
1254,finished,user,R/Bioconductor,NA,
1255,abandoned,developer,Haskell (Cabal/Hackage),NA,
1256,finished,developer,NuGet,Strongly disagree,
1257,finished,developer,NuGet,Somewhat agree,
1258,abandoned,developer,other,NA,
1259,finished,developer,Python/PyPi,Somewhat disagree,
1260,finished,developer,Go,Strongly disagree,
1261,finished,user,Go,NA,
1262,finished,developer,NuGet,Somewhat disagree,
1263,finished,developer,other,Somewhat agree,
1264,finished,user,NuGet,NA,
1265,abandoned,developer,R/Bioconductor,NA,
1266,finished,developer,Go,Strongly agree,
1267,abandoned,user,Python/PyPi,NA,
1268,finished,user,Haskell (Cabal/Hackage),NA,
1269,finished,user,R/Bioconductor,NA,
1270,abandoned,developer,R/Bioconductor,NA,
1271,abandoned,developer,R/CRAN,NA,
1272,abandoned,user,R/Bioconductor,NA,
1273,abandoned,developer,R/Bioconductor,NA,
1274,finished,developer,NuGet,Strongly disagree,
1275,finished,user,Node.js/NPM,NA,
1276,abandoned,user,Haskell (Stack/Stackage),NA,
1277,abandoned,developer,Go,NA,
1278,abandoned,developer,R/Bioconductor,NA,
1279,finished,developer,Node.js/NPM,Somewhat agree,
1280,abandoned,developer,other,NA,
1281,abandoned,user,Node.js/NPM,NA,
1282,abandoned,developer,other,NA,
1283,finished,developer,Node.js/NPM,Strongly agree,
1284,finished,user,R/Bioconductor,NA,
1285,abandoned,developer,Python/PyPi,NA,
1286,finished,user,R/Bioconductor,NA,
1287,finished,user,R/Bioconductor,NA,
1288,finished,developer,R/Bioconductor,Somewhat disagree,
1289,finished,developer,Go,Somewhat disagree,
1290,finished,developer,NuGet,Neither agree nor disagree,
1291,finished,user,R/Bioconductor,NA,
1292,finished,user,NuGet,NA,
1293,finished,user,R/Bioconductor,NA,
1294,finished,user,NuGet,NA,
1295,finished,developer,Go,Neither agree nor disagree,
1296,finished,user,NuGet,NA,
1297,finished,developer,NuGet,Neither agree nor disagree,
1298,finished,user,NuGet,NA,
1299,finished,user,R/Bioconductor,NA,
1300,abandoned,developer,other,NA,
1301,finished,developer,NuGet,Strongly disagree,
1302,finished,developer,NuGet,Strongly disagree,
1303,finished,developer,Go,Somewhat agree,
1304,finished,developer,NuGet,Strongly disagree,
1305,finished,developer,Go,Neither agree nor disagree,
1306,finished,user,R/Bioconductor,NA,
1307,finished,developer,R/Bioconductor,Somewhat agree,
1308,abandoned,developer,Python/PyPi,NA,
1309,abandoned,user,Python/PyPi,NA,
1310,finished,user,Go,NA,
1311,finished,developer,R/Bioconductor,Somewhat disagree,
1312,finished,developer,Python/PyPi,Neither agree nor disagree,
1313,finished,user,R/Bioconductor,NA,
1314,finished,developer,Go,Strongly agree,
1315,finished,user,R/Bioconductor,NA,
1316,finished,developer,NuGet,Neither agree nor disagree,
1317,finished,developer,NuGet,Strongly disagree,
1318,finished,user,NuGet,NA,
1319,finished,user,R/Bioconductor,NA,
1320,finished,developer,NuGet,Neither agree nor disagree,
1321,finished,developer,NuGet,Strongly disagree,
1322,finished,developer,R/Bioconductor,Somewhat disagree,
1323,finished,developer,NuGet,Somewhat agree,
1324,finished,developer,R/CRAN,Neither agree nor disagree,
1325,finished,developer,NuGet,Somewhat disagree,
1326,finished,developer,R/Bioconductor,Strongly disagree,
1327,finished,user,R/Bioconductor,NA,
1328,finished,developer,NuGet,Somewhat agree,
1329,finished,user,Go,NA,
1330,finished,developer,Go,Somewhat agree,
1331,finished,user,NuGet,NA,
1332,finished,user,R/Bioconductor,NA,
1333,finished,developer,Python/PyPi,Somewhat disagree,
1334,finished,developer,NuGet,Somewhat disagree,
1335,finished,developer,R/Bioconductor,Somewhat agree,
1336,finished,developer,NuGet,Strongly disagree,
1337,finished,developer,R/Bioconductor,Somewhat disagree,
1338,abandoned,developer,Haskell (Cabal/Hackage),NA,
1339,finished,user,Python/PyPi,NA,
1340,abandoned,developer,Haskell (Cabal/Hackage),NA,
1341,finished,developer,Haskell (Stack/Stackage),Neither agree nor disagree,
1342,abandoned,user,Python/PyPi,NA,
1343,finished,developer,NuGet,Neither agree nor disagree,
1344,finished,user,NuGet,NA,
1345,abandoned,developer,Haskell (Cabal/Hackage),NA,
1346,finished,developer,Haskell (Stack/Stackage),Strongly disagree,
1347,finished,developer,NuGet,Neither agree nor disagree,
1348,finished,developer,NuGet,Somewhat disagree,
1349,finished,developer,R/CRAN,Neither agree nor disagree,
1350,finished,developer,Rust/Cargo,Neither agree nor disagree,
1351,finished,user,R/CRAN,NA,
1352,finished,developer,R/CRAN,Somewhat disagree,
1353,finished,user,R/CRAN,NA,
1354,finished,developer,Rust/Cargo,Somewhat disagree,
1355,finished,user,R/Bioconductor,NA,
1356,finished,developer,Rust/Cargo,Somewhat disagree,
1357,finished,developer,R/CRAN,Strongly disagree,
1358,finished,user,R/CRAN,NA,
1359,finished,user,R/Bioconductor,NA,
1360,finished,developer,CocoaPods,Neither agree nor disagree,
1361,finished,user,R/CRAN,NA,
1362,finished,user,Ruby/Rubygems,NA,
1363,finished,user,CocoaPods,NA,
1364,finished,developer,PHP/Packagist,Neither agree nor disagree,
1365,finished,user,"Erlang,Elixir/Hex",NA,
1366,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
1367,finished,user,Atom (plugins),NA,
1368,finished,developer,Atom (plugins),Strongly agree,
1369,finished,user,CocoaPods,NA,
1370,finished,developer,"Erlang,Elixir/Hex",Somewhat disagree,
1371,finished,developer,R/Bioconductor,Somewhat disagree,
1631,finished,developer,Maven,Somewhat agree,
1373,finished,user,NuGet,NA,
1374,finished,user,other,NA,
1375,finished,developer,NuGet,Strongly disagree,
1376,finished,user,R/Bioconductor,NA,
1377,finished,user,R/Bioconductor,NA,
1378,finished,developer,Rust/Cargo,Strongly disagree,
1379,finished,user,R/CRAN,NA,
1380,finished,user,Go,NA,
1381,abandoned,developer,Python/PyPi,NA,
1382,abandoned,developer,Python/PyPi,NA,
1383,finished,developer,Go,Somewhat disagree,
1384,abandoned,developer,other,NA,
1385,abandoned,user,Python/PyPi,NA,
1386,abandoned,developer,R/Bioconductor,NA,
1387,finished,user,CocoaPods,NA,
1388,finished,developer,Go,Strongly disagree,
1389,abandoned,developer,Python/PyPi,NA,
1390,finished,developer,CocoaPods,Somewhat disagree,
1391,finished,developer,CocoaPods,Somewhat agree,
1392,abandoned,user,Python/PyPi,NA,
1393,finished,developer,CocoaPods,Strongly disagree,
1394,finished,user,Ruby/Rubygems,NA,
1395,finished,developer,Ruby/Rubygems,Somewhat agree,
1396,finished,developer,Node.js/NPM,Somewhat agree,
1397,finished,user,R/Bioconductor,NA,
1398,abandoned,developer,R/Bioconductor,Strongly agree,
1399,abandoned,developer,Python/PyPi,NA,
1400,finished,developer,Ruby/Rubygems,Strongly disagree,
1401,finished,developer,"Erlang,Elixir/Hex",Somewhat disagree,
1402,finished,developer,CocoaPods,Neither agree nor disagree,
1403,finished,developer,CocoaPods,Somewhat agree,
1404,finished,developer,CocoaPods,Strongly disagree,
1405,abandoned,developer,R/Bioconductor,NA,
1406,finished,developer,CocoaPods,Somewhat disagree,
1407,finished,user,R/Bioconductor,NA,
1408,finished,developer,other,Somewhat disagree,
1409,finished,developer,Go,Somewhat disagree,
1410,finished,developer,CocoaPods,Somewhat disagree,
1411,finished,developer,Rust/Cargo,Neither agree nor disagree,
1412,finished,user,R/CRAN,NA,
1413,finished,developer,R/Bioconductor,Somewhat agree,
1414,finished,user,Rust/Cargo,NA,
1415,finished,developer,Go,Strongly agree,
1416,finished,user,R/CRAN,NA,
1417,abandoned,developer,Python/PyPi,NA,
1418,finished,user,Ruby/Rubygems,NA,
1664,finished,developer,Maven,Somewhat agree,
1420,finished,user,Go,NA,
1712,finished,developer,Maven,Somewhat agree,
1839,abandoned,developer,Maven,Somewhat agree,
1423,finished,user,Go,NA,
1424,abandoned,developer,Python/PyPi,NA,
1425,finished,user,Maven,NA,
1426,abandoned,developer,Python/PyPi,NA,
1427,abandoned,developer,Maven,NA,
1878,finished,developer,Maven,Somewhat agree,
1429,abandoned,developer,Python/PyPi,NA,
1430,abandoned,user,Haskell (Cabal/Hackage),NA,
1999,finished,developer,Maven,Somewhat agree,
1461,finished,developer,Maven,Strongly agree,
1433,finished,developer,Node.js/NPM,Strongly disagree,
1434,finished,user,Go,NA,
1435,finished,developer,CocoaPods,Somewhat agree,
1436,finished,user,CocoaPods,NA,
1437,finished,user,Go,NA,
1482,finished,developer,Maven,Strongly agree,
1439,finished,developer,Atom (plugins),Somewhat disagree,
1851,finished,developer,Maven,Strongly agree,
1441,finished,developer,NuGet,Strongly disagree,
1442,finished,user,CocoaPods,NA,
1443,finished,developer,Ruby/Rubygems,Strongly disagree,
1444,finished,developer,Ruby/Rubygems,Strongly agree,
1445,finished,user,Ruby/Rubygems,NA,
1446,finished,developer,R/CRAN,Somewhat disagree,
1447,finished,user,R/CRAN,NA,
1448,finished,developer,R/CRAN,Somewhat disagree,
1449,finished,user,Go,NA,
1450,finished,developer,Ruby/Rubygems,Strongly agree,
1451,finished,developer,CocoaPods,Neither agree nor disagree,
1452,finished,user,R/CRAN,NA,
1453,finished,user,Maven,NA,
1454,finished,user,Maven,NA,
1455,finished,user,Ruby/Rubygems,NA,
1456,finished,user,Rust/Cargo,NA,
1457,finished,developer,Ruby/Rubygems,Somewhat disagree,
36,finished,developer,Maven,Somewhat disagree,
1459,finished,developer,Maven,Neither agree nor disagree,
1460,finished,user,Atom (plugins),NA,
288,finished,developer,Maven,Somewhat disagree,
1462,finished,developer,Node.js/NPM,Somewhat disagree,
1463,finished,developer,Atom (plugins),Strongly disagree,
1464,finished,user,Maven,NA,
1465,finished,developer,Rust/Cargo,Strongly disagree,
1466,finished,developer,other,Somewhat disagree,
1428,finished,developer,Maven,Somewhat disagree,
1468,finished,developer,Rust/Cargo,Neither agree nor disagree,
1469,finished,developer,Ruby/Rubygems,Neither agree nor disagree,
1470,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
1471,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
1472,finished,developer,Ruby/Rubygems,Somewhat disagree,
1431,finished,developer,Maven,Somewhat disagree,
1474,finished,developer,R/CRAN,Somewhat disagree,
1475,finished,user,"Erlang,Elixir/Hex",NA,
1476,finished,developer,Node.js/NPM,Strongly disagree,
1477,finished,developer,Maven,Somewhat disagree,
1478,finished,developer,Ruby/Rubygems,Strongly agree,
1479,finished,user,Atom (plugins),NA,
1480,finished,developer,Maven,Neither agree nor disagree,
1481,finished,developer,Rust/Cargo,Strongly disagree,
1622,finished,developer,Maven,Somewhat disagree,
1483,finished,developer,Haskell (Cabal/Hackage),Strongly disagree,
1484,finished,developer,Ruby/Rubygems,Somewhat disagree,
1485,finished,developer,R/CRAN,Neither agree nor disagree,
1486,finished,user,"Erlang,Elixir/Hex",NA,
1487,finished,user,Atom (plugins),NA,
1488,finished,developer,Ruby/Rubygems,Somewhat agree,
1489,finished,user,Go,NA,
1490,finished,developer,Atom (plugins),Somewhat agree,
1491,finished,developer,"Erlang,Elixir/Hex",Somewhat disagree,
1492,finished,user,"Erlang,Elixir/Hex",NA,
1493,finished,user,R/CRAN,NA,
1494,abandoned,developer,Go,NA,
1495,finished,developer,Go,Strongly disagree,
1496,finished,developer,Python/PyPi,Somewhat disagree,
1497,finished,user,R/CRAN,NA,
1498,finished,developer,Ruby/Rubygems,Strongly agree,
1499,abandoned,developer,Go,NA,
1500,abandoned,developer,Go,NA,
1501,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1502,finished,user,Eclipse (plugins),NA,
1503,finished,developer,Ruby/Rubygems,Strongly disagree,
1504,finished,developer,Ruby/Rubygems,Somewhat disagree,
1505,finished,developer,R/CRAN,Somewhat disagree,
1506,finished,user,Node.js/NPM,NA,
1507,finished,developer,Go,Strongly disagree,
1508,finished,developer,Ruby/Rubygems,Somewhat disagree,
1509,abandoned,developer,other,NA,
1510,finished,user,Ruby/Rubygems,NA,
1511,abandoned,developer,Node.js/NPM,NA,
1512,abandoned,developer,Node.js/NPM,NA,
1513,finished,developer,Maven,Neither agree nor disagree,
1514,finished,user,Atom (plugins),NA,
1515,finished,developer,Ruby/Rubygems,Strongly disagree,
1516,finished,developer,R/CRAN,Neither agree nor disagree,
1517,finished,user,Atom (plugins),NA,
1518,finished,user,Ruby/Rubygems,NA,
1519,finished,user,other,NA,
1520,finished,developer,Rust/Cargo,Strongly disagree,
1521,finished,user,Ruby/Rubygems,NA,
1522,finished,user,Ruby/Rubygems,NA,
1700,finished,developer,Maven,Somewhat disagree,
1419,finished,developer,Maven,Strongly disagree,
1525,finished,user,Rust/Cargo,NA,
1526,finished,user,Atom (plugins),NA,
1527,finished,user,Rust/Cargo,NA,
1528,finished,developer,CocoaPods,Strongly agree,
1529,finished,developer,NuGet,Somewhat agree,
1530,finished,developer,"Erlang,Elixir/Hex",Somewhat disagree,
1531,finished,developer,Eclipse (plugins),Neither agree nor disagree,
1532,finished,user,Rust/Cargo,NA,
1533,abandoned,developer,Haskell (Cabal/Hackage),NA,
1534,finished,user,Atom (plugins),NA,
1535,finished,developer,Rust/Cargo,Strongly disagree,
1536,finished,developer,Ruby/Rubygems,Strongly disagree,
1537,finished,developer,NuGet,Somewhat disagree,
1538,finished,user,Ruby/Rubygems,NA,
1539,finished,user,R/CRAN,NA,
1540,abandoned,developer,NuGet,NA,
1541,abandoned,developer,Go,NA,
1542,abandoned,user,Go,NA,
1543,abandoned,developer,Go,NA,
1544,finished,user,Eclipse (plugins),NA,
1545,abandoned,user,NuGet,NA,
1546,abandoned,developer,R/Bioconductor,NA,
1547,finished,developer,R/Bioconductor,Somewhat agree,
1548,finished,user,Atom (plugins),NA,
1549,abandoned,developer,Node.js/NPM,NA,
1550,abandoned,developer,Node.js/NPM,NA,
1551,finished,user,Maven,NA,
1552,abandoned,developer,NuGet,NA,
1553,abandoned,developer,other,NA,
1554,abandoned,user,Haskell (Cabal/Hackage),NA,
1555,abandoned,developer,other,NA,
1556,abandoned,user,Node.js/NPM,NA,
1557,abandoned,developer,Node.js/NPM,NA,
1558,abandoned,developer,R/CRAN,NA,
1559,finished,user,R/CRAN,NA,
1560,abandoned,user,Haskell (Cabal/Hackage),NA,
1561,abandoned,user,Go,NA,
1562,abandoned,developer,Node.js/NPM,NA,
1563,finished,user,Ruby/Rubygems,NA,
1564,abandoned,developer,R/Bioconductor,Skipped,
1565,abandoned,developer,Node.js/NPM,NA,
1566,abandoned,developer,other,NA,
1567,finished,developer,CocoaPods,Neither agree nor disagree,
1568,abandoned,developer,R/Bioconductor,NA,
1569,finished,developer,R/Bioconductor,Strongly disagree,
1570,abandoned,user,R/Bioconductor,NA,
1571,abandoned,developer,R/Bioconductor,NA,
1572,abandoned,developer,NuGet,NA,
1573,abandoned,developer,Go,NA,
1574,abandoned,developer,other,NA,
1575,abandoned,developer,NuGet,NA,
1576,abandoned,user,NuGet,NA,
1577,abandoned,developer,other,NA,
1578,abandoned,user,R/Bioconductor,NA,
1579,abandoned,developer,Go,NA,
1580,abandoned,developer,R/Bioconductor,NA,
1581,abandoned,developer,NuGet,NA,
1582,abandoned,developer,"Erlang,Elixir/Hex",NA,
1583,abandoned,developer,NuGet,NA,
1584,abandoned,developer,Node.js/NPM,NA,
1585,abandoned,developer,R/Bioconductor,NA,
1586,abandoned,user,NuGet,NA,
1587,abandoned,developer,other,NA,
1588,abandoned,developer,other,NA,
1589,abandoned,developer,Python/PyPi,NA,
1590,abandoned,developer,Go,NA,
1591,finished,user,Haskell (Cabal/Hackage),NA,
1592,abandoned,developer,other,NA,
1593,finished,user,Node.js/NPM,NA,
1594,abandoned,developer,NuGet,NA,
1595,abandoned,developer,NuGet,NA,
1596,abandoned,developer,NuGet,NA,
1597,abandoned,user,Go,NA,
1598,finished,user,Haskell (Stack/Stackage),NA,
1599,abandoned,developer,NuGet,NA,
1600,abandoned,developer,Go,NA,
1601,abandoned,developer,NuGet,NA,
1602,finished,developer,Eclipse (plugins),Somewhat agree,
1603,abandoned,user,NuGet,NA,
1604,abandoned,developer,R/Bioconductor,Neither agree nor disagree,
1605,abandoned,developer,NuGet,NA,
1606,abandoned,developer,other,NA,
1607,finished,user,Rust/Cargo,NA,
1608,finished,user,R/Bioconductor,NA,
1609,abandoned,developer,Go,NA,
1610,abandoned,developer,Go,NA,
1611,abandoned,developer,NuGet,NA,
1612,abandoned,developer,other,NA,
1613,abandoned,developer,Go,Strongly disagree,
1614,abandoned,developer,Go,Somewhat disagree,
1615,finished,developer,Ruby/Rubygems,Somewhat disagree,
1616,finished,user,Python/PyPi,NA,
1617,abandoned,developer,NuGet,NA,
1618,finished,user,R/Bioconductor,NA,
1619,finished,developer,Ruby/Rubygems,Somewhat disagree,
1620,finished,developer,Eclipse (plugins),Neither agree nor disagree,
1621,finished,user,Maven,NA,
1421,finished,developer,Maven,Strongly disagree,
1623,finished,user,Maven,NA,
1624,finished,developer,Ruby/Rubygems,Strongly disagree,
1625,finished,user,Atom (plugins),NA,
1626,finished,developer,Python/PyPi,Neither agree nor disagree,
1627,abandoned,user,Go,NA,
1628,finished,user,Atom (plugins),NA,
1629,finished,developer,Atom (plugins),Strongly disagree,
1630,finished,developer,CocoaPods,Somewhat agree,
1422,finished,developer,Maven,Strongly disagree,
1632,finished,user,Atom (plugins),NA,
1633,finished,user,Atom (plugins),NA,
1634,finished,user,Atom (plugins),NA,
1635,finished,user,Node.js/NPM,NA,
1636,finished,developer,Node.js/NPM,Somewhat disagree,
1637,abandoned,developer,Node.js/NPM,NA,
1638,finished,user,Node.js/NPM,NA,
1639,finished,user,"Erlang,Elixir/Hex",NA,
1640,finished,user,CocoaPods,NA,
1641,finished,user,Node.js/NPM,NA,
1642,finished,user,"Erlang,Elixir/Hex",NA,
1643,finished,developer,Lua/Luarocks,Strongly agree,
1644,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1645,finished,user,Lua/Luarocks,NA,
1646,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1647,finished,user,Ruby/Rubygems,NA,
1648,abandoned,developer,NuGet,NA,
1649,abandoned,developer,NuGet,NA,
1650,finished,developer,"Erlang,Elixir/Hex",Neither agree nor disagree,
1651,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1652,finished,user,Perl/CPAN,NA,
1653,finished,developer,Node.js/NPM,Strongly disagree,
1654,finished,developer,Node.js/NPM,Somewhat agree,
1655,finished,developer,Node.js/NPM,Neither agree nor disagree,
1656,finished,developer,Ruby/Rubygems,Somewhat agree,
1657,finished,developer,Node.js/NPM,Somewhat disagree,
1658,finished,developer,Rust/Cargo,Strongly disagree,
1659,finished,developer,NuGet,Neither agree nor disagree,
1660,finished,user,"Erlang,Elixir/Hex",NA,
1661,abandoned,developer,R/Bioconductor,NA,
1662,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1663,finished,user,Node.js/NPM,NA,
1438,finished,developer,Maven,Strongly disagree,
1665,finished,user,"Erlang,Elixir/Hex",NA,
1666,finished,developer,Node.js/NPM,Neither agree nor disagree,
1667,abandoned,developer,Python/PyPi,NA,
1668,finished,user,"Erlang,Elixir/Hex",NA,
1669,finished,user,"Erlang,Elixir/Hex",NA,
1670,finished,user,Go,NA,
1671,abandoned,developer,Rust/Cargo,NA,
1672,abandoned,developer,Ruby/Rubygems,NA,
1673,abandoned,developer,other,NA,
1674,abandoned,developer,Rust/Cargo,Neither agree nor disagree,
1675,abandoned,developer,Rust/Cargo,NA,
1676,finished,developer,Node.js/NPM,Somewhat disagree,
1677,finished,developer,Node.js/NPM,Strongly agree,
1678,abandoned,developer,Rust/Cargo,NA,
1679,finished,developer,"Erlang,Elixir/Hex",Somewhat agree,
1680,abandoned,developer,Ruby/Rubygems,NA,
1681,abandoned,developer,Python/PyPi,NA,
1682,finished,user,R/CRAN,NA,
1683,abandoned,developer,Rust/Cargo,NA,
1684,finished,user,Atom (plugins),NA,
1685,finished,user,other,NA,
1686,finished,user,Ruby/Rubygems,NA,
1687,finished,developer,Go,Somewhat agree,
1688,abandoned,developer,Atom (plugins),NA,
1689,abandoned,developer,Atom (plugins),NA,
1690,abandoned,developer,Haskell (Stack/Stackage),NA,
1691,abandoned,developer,PHP/Packagist,NA,
1692,abandoned,developer,other,NA,
1693,abandoned,developer,Atom (plugins),NA,
1694,finished,developer,Eclipse (plugins),Strongly disagree,
1695,abandoned,developer,"Erlang,Elixir/Hex",NA,
1696,finished,developer,"Erlang,Elixir/Hex",Neither agree nor disagree,
1440,finished,developer,Maven,Strongly disagree,
1698,abandoned,developer,PHP/Packagist,NA,
1699,finished,user,Atom (plugins),NA,
1458,finished,developer,Maven,Strongly disagree,
1701,abandoned,developer,Atom (plugins),NA,
1702,abandoned,developer,NuGet,NA,
1703,abandoned,developer,R/Bioconductor,NA,
1704,abandoned,developer,CocoaPods,NA,
1705,abandoned,developer,Atom (plugins),NA,
1706,abandoned,developer,NuGet,NA,
1707,abandoned,developer,PHP/Packagist,NA,
1708,finished,developer,Ruby/Rubygems,Strongly agree,
1709,abandoned,developer,R/Bioconductor,NA,
1710,abandoned,developer,Maven,NA,
1711,abandoned,developer,Go,NA,
1467,finished,developer,Maven,Strongly disagree,
1713,abandoned,developer,NuGet,NA,
1714,finished,developer,Node.js/NPM,Strongly disagree,
1715,finished,developer,Eclipse (plugins),Neither agree nor disagree,
1716,abandoned,developer,Python/PyPi,NA,
1717,abandoned,developer,other,NA,
1718,abandoned,developer,other,NA,
1719,abandoned,developer,CocoaPods,NA,
1720,abandoned,developer,CocoaPods,NA,
1721,abandoned,developer,CocoaPods,NA,
1722,abandoned,developer,Ruby/Rubygems,NA,
1723,abandoned,developer,Python/PyPi,NA,
1724,abandoned,user,Maven,NA,
1725,abandoned,developer,Ruby/Rubygems,NA,
1726,abandoned,developer,CocoaPods,NA,
1727,abandoned,user,CocoaPods,NA,
1728,abandoned,developer,CocoaPods,NA,
1729,finished,developer,Maven,Neither agree nor disagree,
1730,abandoned,developer,Ruby/Rubygems,NA,
1731,abandoned,developer,Ruby/Rubygems,NA,
1732,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1733,finished,developer,"Erlang,Elixir/Hex",Strongly disagree,
1734,abandoned,developer,Ruby/Rubygems,NA,
1735,finished,user,Atom (plugins),NA,
1736,abandoned,developer,other,NA,
1737,abandoned,developer,CocoaPods,NA,
1738,finished,user,Go,NA,
1739,abandoned,user,NuGet,NA,
1740,abandoned,developer,Python/PyPi,NA,
1741,abandoned,developer,Ruby/Rubygems,NA,
